284,132,18257,8721,45603,14412
98,37,22967,39679,41434,17171
216,98,24774,3334,20142,20740
262,65,28603,17798,1722,3756
153,39,47807,15042,27556,24833
157,147,28581,6479,12962,5743
158,69,34268,15260,49458,13132
155,82,3406,19977,39950,42831
176,95,44634,7408,41719,12569
16,10,35357,16972,30308,28425
68,19,22982,35159,37681,28845
31,28,6702,44926,2214,22628
78,51,3,5,5,51230
54,42,26133,41197,31172,43402
129,88,17359,43179,14263,39343
81,80,7336,12299,9008,39172
143,121,43610,8447,34988,33396
158,146,46980,1311,19790,49584
123,31,6005,29511,31418,27698
194,172,6030,31596,42652,1167
104,31,5672,35206,19043,15697
232,18,19948,41631,30880,29201
63,54,20049,24500,46830,27768
174,139,38532,38657,17595,26022
266,59,9448,23701,1228,23074
28,17,6511,40680,49043,13584
245,105,43645,2466,6254,4856
157,52,4716,44993,15468,25624
197,112,24617,18715,42092,22619
80,24,18486,10791,45160,13508
196,176,2316,48359,16660,49248
291,189,28918,2423,43264,8880
81,80,7336,12299,9008,39172
78,51,3,5,5,51230
33,13,31418,36710,48945,17425
229,115,5319,39246,15159,13268
261,56,47696,46192,9338,24085
299,288,32698,2778,30425,47737
116,44,14331,48062,37292,23248
194,164,4143,42765,43005,1005
295,210,14878,31532,18588,10961
271,205,15120,16446,41519,34045
114,86,22515,26389,43213,3372
181,47,17972,43740,1820,8055
78,51,3,5,5,51230
41,34,21447,31797,3972,40627
19,10,19737,21906,14048,34641
81,80,7336,12299,9008,39172
56,48,38868,24950,10134,24464
216,152,22973,6251,17633,34310
166,132,25953,44867,20767,29299
240,72,28434,25003,6751,27168
269,155,22443,32474,23296,17612
20,15,6384,79,42763,19921
268,74,40897,23914,19998,49539
257,59,20415,17099,23768,45549
111,13,43644,39252,6558,47840
176,41,12311,7670,7022,12349
98,28,10503,119,2568,44450
216,60,47922,7525,35716,35205
